Card#,Artist,Title,Album,URL
1,Katrina & The Waves,Walking On Sunshine,Katrina & The Waves,spotify://track:05wIrZSwuaVWhcv5FfqeH0
2,Joe Cocker,Summer In the City,Sommermusik,spotify://track:1iL3mf4SA0iemXFHN4GVXy
3,Fairground Attraction,Perfect,The First Of A Million Kisses,spotify://track:2X90tKH59XlulLjbT4vci1
4,Creedence Clearwater Revival,Have You Ever Seen The Rain,Pendulum (Expanded Edition),spotify://track:2LawezPeJhN4AWuSB0GtAU
5,Namika,Je ne parle pas français,Que Walou,spotify://track:4eJqzRN15DabYK4byfWghD
6,"Drake, Wizkid, Kyla, Kyla",One Dance,Views,spotify://track:1zi7xx7UVEFkmKfv06H8x0
7,Marquess,Vayamos compañeros - Radio Edit,Frenetica,spotify://track:6LTAv2W4zYWM5rSKdgHWZS
8,Hanson,MMMBop,Middle Of Nowhere,spotify://track:0lnxrQAd9ZxbhBBe7d8FO8
9,Lighthouse Family,High,Postcards From Heaven,spotify://track:0AQHfKjzky28rf5ytfBANJ
10,Lionel Richie,All Night Long (All Night) - Single Version,Back To Front,spotify://track:4czNORk5MjW5WOn98bki32
11,Barry White,Let The Music Play,Number Ones,spotify://track:2sR6PY1YgPZTB8hZflRbFq
12,Sin With Sebastian,Shut Up (And Sleep With Me) [Original Airplay Mix],Shut Up (And Sleep With Me),spotify://track:0fXy5mDtuSBtBMkNtAUhG6
13,Gipsy Kings,Baila Me,Este Mundo,spotify://track:06HRc41zK97Hh9AcuyXVZn
14,DJ Jazzy Jeff & The Fresh Prince,Summertime,Homebase,spotify://track:20XdEFyaUR9C7aDIdq2OAd
15,Elvis Crespo,Suavemente,Suavemente...Los Exitos,spotify://track:1YwPNemawMgGe6sF4U0FTE
16,Black Eyed Peas,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],spotify://track:4kLLWz7srcuLKA7Et40PQR
17,Roxette,The Look,Look Sharp! (Extended Version),spotify://track:1aYkkrAbPmMuorVz5HWIqE
18,Peter Andre,Mysterious Girl - Radio Edit,Natural,spotify://track:3CiM7fBGbaP6jiyuH2Ot4j
19,"Topic, A7S",Breaking Me,Breaking Me,spotify://track:3H7ihDc1dqLriiWXwsc2po
20,The Beatles,Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),spotify://track:6dGnYIeXmHdcikdzNNDMm2
21,Mickie Krause,Eine Woche wach,Eine Woche wach,spotify://track:6aRlZoOO6dqXQtqq2wiQZ1
22,Bausa,Was du Liebe nennst,Was Du Liebe nennst,spotify://track:4hKWUzhQWsOkgT6LnDEASe
23,America,A Horse With No Name,Hits,spotify://track:3BCSIFo2mLFFhSsg0QwpPw
24,"Calvin Harris, Disciples",How Deep Is Your Love,How Deep Is Your Love,spotify://track:22mek4IiqubGD9ctzxc69s
25,DJ Ötzi,Hey Baby (Radio Mix),Hey Baby (Uh Ah),spotify://track:0HNXnhNZZtRZFLhP4hfyCP
26,"Christina Aguilera, Lil' Kim, Mýa, P!nk",Lady Marmalade - Single Edit,Lady Marmalade,spotify://track:0PSZ9G584Ve27GK6ThlY6P
27,"DJ Snake, J Balvin, Tyga",Loco Contigo (feat. J. Balvin & Tyga),Carte Blanche,spotify://track:6osaMSJh9NguagEDQcZaKx
28,Milli Vanilli,Girl You Know It's True,Girl You Know It's True - The Best Of Milli Vanilli,spotify://track:0C7dYeCLF6ukChtW64UNge
29,Peter Fox,Alles neu,Stadtaffe,spotify://track:5hqxBvQJ3XJDSbxT9vyyqA
30,Jimmy Cliff,Reggae Night,We All Are One: The Best Of Jimmy Cliff,spotify://track:1OE5bn5HUmCqTLNpo13ya3
31,Taio Cruz,World In Our Hands,TY.O (International Version),spotify://track:79xJXZeudmfMq4ay9yCFGd
32,Les Humphries Singers,Mama Loo,PORTRAIT - THE LES HUMPHRIES SINGERS,spotify://track:3Y37ytfQDMp2KTA1SG9bpl
33,Trio Rio,New York-Rio-Tokyo,Trio Rio,spotify://track:68h3Um0UOY8FkMfcelv4Vb
34,Laid Back,Sunshine Reggae,Good Vibes - The Very Best of Laid Back,spotify://track:0z0JSkE5Nw3i3nin3BBSuG
35,Goombay Dance Band,Sun of Jamaica,Sun of Jamaica,spotify://track:5apwlmvQphkCJbHnMGUP2t
36,Billy Idol,Sweet Sixteen - Remastered 2001,Greatest Hits,spotify://track:3kyW3qviTr2dIyvqa1lEWC
37,Sheryl Crow,All I Wanna Do,Tuesday Night Music Club,spotify://track:3ZpQiJ78LKINrW9SQTgbXd
