Card#,Artist,Title,Album,URL
1,The Pointer Sisters,I'm So Excited,So Excited! (Expanded Edition),spotify://track:1ot6jEe4w4hYnsOPjd3xKQ
2,Right Said Fred,I'm Too Sexy,Up,spotify://track:5YBnb8pOGOHkkGUEoqreWL
3,"Run–D.M.C., Aerosmith",Walk This Way (feat. Aerosmith),Raising Hell,spotify://track:6qUEOWqOzu1rLPUPQ1ECpx
4,Shocking Blue,Venus,At Home,spotify://track:0Z3xhSOhrawLV81YdiDiiJ
5,"J Balvin, Willy William",Mi Gente,Mi Gente,spotify://track:03aENfSuuy3VS0sbgH7u1D
6,Taylor Swift,Shake It Off,1989 (Deluxe),spotify://track:0cqRj7pUJDkTCEsJkx8snD
7,Gwen Stefani,What You Waiting For?,Love. Angel. Music. Baby.,spotify://track:0ny5zITdmyNwyTPVzRGscU
8,Mo-Do,Eins Zwei Polizei,Was Ist Das?,spotify://track:5OJbTix8eJQuZhIUJK8EDW
9,Doop,Doop - dooper than doop,The doop eepee,spotify://track:0in6oqBYRxhOUWNWHgy8ls
10,Het Goede Doel,Belgie ... (Is Er Leven Op Pluto ...),Belgie,spotify://track:0otIFwtEKqrDBGb3cvLRu4
11,Cerrone,Supernature,3 - Supernature,spotify://track:00RHrZB3i6B6PwX30ouZBK
12,2 Unlimited,No Limit,No Limits,spotify://track:7voHUmPNDuYZ1SW1mwRu26
13,The B-52's,Love Shack,Cosmic Thing,spotify://track:4W4wYHtsrgDiivRASVOINL
14,Technotronic,Pump Up The Jam,Pump Up The Jam,spotify://track:21qnJAMtzC6S5SESuqQLEK
15,2 Brothers On The 4th Floor,Come Take My Hand,Come Take My Hand,spotify://track:6JyxQWqDiiT0NFlNCla1DM
16,"Alex Gaudino, Crystal Waters",Destination Calabria - Radio Edit,Destination Calabria,spotify://track:5TmFTHZp7HjBXjjsFvCY6h
17,Piet Veerman,Sailin' Home,Piet Veerman,spotify://track:5W3YQ8VJBg4wTm9fvIZjMA
18,House Of Pain,Jump Around,House of Pain (Fine Malt Lyrics),spotify://track:6JymsaWDHk2Yj4e0yNBIFH
19,Lil Nas X,Old Town Road,7,spotify://track:0F7FA14euOIX8KcbEturGH
20,Dusty Springfield,Son Of A Preacher Man,Dusty In Memphis,spotify://track:6ek9SiEj5a65WIs2EV7qiM
21,Panic! At The Disco,High Hopes,Pray for the Wicked,spotify://track:1rqqCSm0Qe4I9rUvWncaom
22,DNCE,Cake By The Ocean,DNCE,spotify://track:76hfruVvmfQbw0eYn1nmeC
23,Les Poppys,Non non rien n'a changé,Les Annees Barclay,spotify://track:1fxoAloBlcKe3t49QwIL4m
